name,pdg_key,pdg_id,category,hqiv_mev,pdg_mev,delta_mev,abs_error_pct,sigma_mev,sigma_source,sigma_comparison_mev,n_sigma_listed,n_sigma_floored,discharge_match,outside_dressing_product,delta_outside_chart_mev,delta_lab_ambient_mev,delta_accelerator_mev,facility_id,K_facility,m_apparent_facility_mev,delta_residual_mev,delta_residual_facility_mev
Λ⁰_b,Lambda_b0,Λb0,baryon_bottom,5616.914792,5619.600000,-2.685208,0.047783,0.17,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",56.196,15.7953,0.047783,bottom_multiplet:lambda:isospin=zero,1.06,317.938573,1.663366,9.947604,lhc_lhcb,1.001771,5628.528708,1.021842,-8.925763
Ξ⁰_b,Xi_b0,Ξb0,baryon_bottom,5782.126438,5791.900000,-9.773562,0.168745,0.5,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",57.919,19.5471,0.168745,bottom_multiplet:xi:isospin=halfPlus,1.06,327.290176,1.712291,10.240196,lhc_lhcb,1.001771,5794.081957,8.061271,-2.178925
Ξ⁻_b,Xi_b-,Ξb-,baryon_bottom,5781.726438,5797.000000,-15.273562,0.263474,0.6,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",57.97,25.4559,0.263474,bottom_multiplet:xi:isospin=halfMinus,1.06,327.267534,1.712173,10.239487,lhc_lhcb,1.001771,5793.681130,13.561389,3.321902
Σ⁰_b,Sigma_b0,Σb0,baryon_bottom,5804.145285,5815.200000,-11.054715,0.190100,0.4,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",58.152,27.6368,0.190100,bottom_multiplet:sigma:isospin=zero,1.06,328.536526,1.718812,10.279191,lhc_lhcb,1.001771,5816.146332,9.335903,-0.943288
Σ⁺_b,Sigma_b+,Σb+,baryon_bottom,5804.545285,5816.200000,-11.654715,0.200384,0.5,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",58.162,23.3094,0.200384,bottom_multiplet:sigma:isospin=plus,1.06,328.559167,1.718930,10.279900,lhc_lhcb,1.001771,5816.547159,9.935785,-0.344115
Σ⁻_b,Sigma_b-,Σb-,baryon_bottom,5803.745285,5815.400000,-11.654715,0.200411,0.4,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",58.154,29.1368,0.200411,bottom_multiplet:sigma:isospin=minus,1.06,328.513884,1.718694,10.278483,lhc_lhcb,1.001771,5815.745505,9.936022,-0.342461
Ω⁻_b,Omega_b-,Ωb-,baryon_bottom,6051.310888,6046.100000,5.210888,0.086186,0.6,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",60.461,8.68481,0.086186,bottom_multiplet:omega:isospin=zero,1.0653,370.928941,1.792006,10.716924,lhc_lhcb,1.001771,6063.822992,-7.002895,-17.719818
Λ⁺_c,Lambda_c+,Λ+c,baryon_charm,2285.648808,2286.460000,-0.811192,0.035478,0.14,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",22.8646,5.79423,0.035478,charmed_multiplet:lambda:n=1:isospin=zero,1.069625,148.779524,0.676861,4.079753,cms_lhc,1.0017849,2290.406630,0.134331,-3.945422
Ξ′_c+,Xi_c_prime+,Ξc(2645)+,baryon_charm,2580.213127,2575.600000,4.613127,0.179109,0.6,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",25.756,7.68855,0.179109,charmed_multiplet:xi:n=1:xi_prime:isospin=halfPlus,1.080375,191.956154,0.764092,4.605534,cms_lhc,1.0017849,2585.584117,-5.377219,-9.982753
Ξ′_c⁰,Xi_c_prime0,Ξc(2645)0,baryon_charm,2579.794377,2578.200000,1.594377,0.061841,0.5,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",25.782,3.18875,0.061841,charmed_multiplet:xi:n=1:xi_prime:isospin=halfMinus,1.080375,191.925001,0.763968,4.604786,cms_lhc,1.0017849,2585.164496,-2.358345,-6.963132
Ξ⁰_c,Xi_c0,Ξc0,baryon_charm,2464.281196,2467.710000,-3.428804,0.138947,0.3,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",24.6771,11.4293,0.138947,charmed_multiplet:xi:n=1:isospin=halfMinus,1.075,171.926595,0.729761,4.398602,cms_lhc,1.0017849,2469.410861,2.699043,-1.699559
Ξ⁺_c,Xi_c+,Ξc+,baryon_charm,2464.681196,2468.050000,-3.368804,0.136497,0.27,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",24.6805,12.4771,0.136497,charmed_multiplet:xi:n=1:isospin=halfPlus,1.075,171.954502,0.729879,4.399316,cms_lhc,1.0017849,2469.811694,2.638925,-1.760391
Σ⁰_c,Sigma_c0,Σc(2455)0,baryon_charm,2450.276779,2453.750000,-3.473221,0.141547,0.34,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",24.5375,10.2154,0.141547,charmed_multiplet:sigma:n=1:isospin=zero,1.075,170.949543,0.725613,4.373605,cms_lhc,1.0017849,2455.377292,2.747608,-1.625997
Σ⁺_c,Sigma_c+,Σc(2455)++,baryon_charm,2450.676779,2453.970000,-3.293221,0.134200,0.31,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",24.5397,10.6233,0.134200,charmed_multiplet:sigma:n=1:isospin=plus,1.075,170.977450,0.725732,4.374319,cms_lhc,1.0017849,2455.778125,2.567490,-1.806829
Σ⁻_c,Sigma_c-,Σc(2455)-,baryon_charm,2449.876779,2452.860000,-2.983221,0.121622,0.27,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",24.5286,11.049,0.121622,charmed_multiplet:sigma:n=1:isospin=minus,1.075,170.921636,0.725495,4.372891,cms_lhc,1.0017849,2454.976459,2.257727,-2.115164
Ω⁰_c,Omega_c0,Ωc0,baryon_charm,2696.317055,2695.200000,1.117055,0.041446,0.6,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",26.952,1.86176,0.041446,charmed_multiplet:omega:n=1:isospin=zero,1.0707,178.042043,0.798475,4.812773,cms_lhc,1.0017849,2701.929728,-1.915530,-6.728303
Ω⁺_c,Omega_c+,Ωc+,baryon_charm,2696.317055,2698.000000,-1.682945,0.062377,0.8,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",26.98,2.10368,0.062377,charmed_multiplet:omega:n=1:isospin=zero,1.0707,178.042043,0.798475,4.812773,cms_lhc,1.0017849,2701.929728,0.884470,-3.928303
Δ⁰,Delta0,Δ(1232)0,baryon_decuplet,1228.974439,1232.000000,-3.025561,0.245581,1,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",12.32,3.02556,0.245581,"tuft:(n=0, ℓ=1):parity=+:decuplet_ground_slot:isospin_i3=-0.5",0.99285714,-8.841543,0.363943,0.000000,earth_surface,1,1229.338382,2.661618,2.661618
Δ⁺,Delta+,Δ(1232)+,baryon_decuplet,1229.374439,1232.000000,-2.625561,0.213114,1,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",12.32,2.62556,0.213114,"tuft:(n=0, ℓ=1):parity=+:decuplet_ground_slot:isospin_i3=0.5",0.99285714,-8.844420,0.364061,0.000000,earth_surface,1,1229.738501,2.261499,2.261499
Δ⁺⁺,Delta++,Δ(1232)++,baryon_decuplet,1229.774439,1232.000000,-2.225561,0.180646,1,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",12.32,2.22556,0.180646,"tuft:(n=0, ℓ=1):parity=+:decuplet_ground_slot:isospin_i3=1.5",0.99285714,-8.847298,0.364180,0.000000,earth_surface,1,1230.138619,1.861381,1.861381
Δ⁻,Delta-,Δ(1232)-,baryon_decuplet,1228.574439,1232.000000,-3.425561,0.278049,1,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",12.32,3.42556,0.278049,"tuft:(n=0, ℓ=1):parity=+:decuplet_ground_slot:isospin_i3=-1.5",0.99285714,-8.838665,0.363824,0.000000,earth_surface,1,1228.938264,3.061736,3.061736
Ξ*⁰,Xi*0,Ξ(1530)0,baryon_decuplet,1535.823105,1531.800000,4.023105,0.262639,0.3,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",15.318,13.4103,0.262639,"strange_orbital:decuplet:(0,2,-):n_s=2:isospin=halfPlus",1,0.000000,0.454811,0.000000,earth_surface,1,1536.277916,-4.477916,-4.477916
Ξ*⁻,Xi*-,Ξ(1530)-,baryon_decuplet,1535.423105,1535.000000,0.423105,0.027564,0.6,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",15.35,0.705175,0.027564,"strange_orbital:decuplet:(0,2,-):n_s=2:isospin=halfMinus",1,0.000000,0.454693,0.000000,earth_surface,1,1535.877798,-0.877798,-0.877798
Σ*⁰,Sigma*0,Σ(1385)0,baryon_decuplet,1384.351807,1383.700000,0.651807,0.047106,1,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",13.837,0.651807,0.047106,"strange_orbital:decuplet:(0,2,-):n_s=1:isospin=zero",1,0.000000,0.409955,0.000000,earth_surface,1,1384.761762,-1.061762,-1.061762
Σ*⁺,Sigma*+,Σ(1385)+,baryon_decuplet,1384.751807,1384.600000,0.151807,0.010964,0.6,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",13.846,0.253012,0.010964,"strange_orbital:decuplet:(0,2,-):n_s=1:isospin=plus",1,0.000000,0.410074,0.000000,earth_surface,1,1385.161881,-0.561881,-0.561881
Σ*⁻,Sigma*-,Σ(1385)-,baryon_decuplet,1383.951807,1387.200000,-3.248193,0.234155,0.5,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",13.872,6.49639,0.234155,"strange_orbital:decuplet:(0,2,-):n_s=1:isospin=minus",1,0.000000,0.409837,0.000000,earth_surface,1,1384.361644,2.838356,2.838356
Ω*⁻,Omega*-,Ω(1650)-,baryon_decuplet,1672.463858,1672.450000,0.013858,0.000829,0.29,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",16.7245,0.0477851,0.000829,"strange_orbital:decuplet:(0,2,-):n_s=3:isospin=zero",1,0.000000,0.495276,0.000000,earth_surface,1,1672.959133,-0.509133,-0.509133
ccd (ref.),ccd_baryon,Ξcc++ (proxy),baryon_double_charm,3622.446068,3621.550000,0.896068,0.024743,0.23,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",36.2155,3.89595,0.024743,charmed_multiplet:lambda:n=2:isospin=halfMinus,1.075,252.728795,1.072734,6.465861,cms_lhc,1.0017849,3629.986577,-1.968802,-8.434663
Ξcc+,Xi_cc+,Ξcc+,baryon_double_charm,3622.846068,3621.200000,1.646068,0.045456,0.7,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",36.212,2.35153,0.045456,charmed_multiplet:lambda:n=2:isospin=halfPlus,1.075,252.756702,1.072852,6.466575,cms_lhc,1.0017849,3630.387410,-2.718920,-9.185495
Ξcc+,Xi_cc+,Ξcc+,baryon_double_charm,3622.846068,3621.200000,1.646068,0.045456,0.7,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",36.212,2.35153,0.045456,charmed_multiplet:lambda:n=2:isospin=halfPlus,1.075,252.756702,1.072852,6.466575,cms_lhc,1.0017849,3630.387410,-2.718920,-9.185495
Ξcc++,Xi_cc++,Ξcc++,baryon_double_charm,3622.846068,3621.550000,1.296068,0.035788,0.23,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",36.2155,5.63508,0.035788,charmed_multiplet:lambda:n=2:isospin=halfPlus,1.075,252.756702,1.072852,6.466575,cms_lhc,1.0017849,3630.387410,-2.368920,-8.835495
Ωcc,Omega_cc,Ωcc,baryon_double_charm,3621.294282,3621.200000,0.094282,0.002604,2,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",36.212,0.0471411,0.002604,charmed_multiplet:xi:n=2:isospin=zero,1.0707,239.119740,1.072393,6.463805,cms_lhc,1.0017849,3628.832394,-1.166675,-7.630480
N(1440),N1440,N(1440)1/2,baryon_resonance,1442.579161,1440.000000,2.579161,0.179108,30,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",30,0.085972,0.085972,"nucleon_resonance:(n=0,ℓ=2,+):p11_1440",1,0.000000,0.427199,0.000000,earth_surface,1,1443.006360,-3.006360,-3.006360
N(1520),N1520,N(1520)3/2,baryon_resonance,1516.353582,1515.000000,1.353582,0.089345,20,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",20,0.0676791,0.067679,"nucleon_resonance:(n=1,ℓ=1,-):d13_1520",1.005,7.544048,0.449046,0.000000,earth_surface,1,1516.802628,-1.802628,-1.802628
N(1535),N1535,N(1535)1/2,baryon_resonance,1523.897630,1523.000000,0.897630,0.058938,10,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",15.23,0.089763,0.058938,"nucleon_resonance:(n=1,ℓ=1,+):s11_1535",1,0.000000,0.451280,0.000000,earth_surface,1,1524.348910,-1.348910,-1.348910
N(1650),N1650,N(1650)1/2,baryon_resonance,1649.469688,1650.000000,-0.530312,0.032140,30,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",30,0.0176771,0.017677,"nucleon_resonance:(n=0,ℓ=3,-):d13_1650",1,0.000000,0.488466,0.000000,earth_surface,1,1649.958154,0.041846,0.041846
N(1675),N1675,N(1675)5/2,baryon_resonance,1674.846145,1675.000000,-0.153855,0.009185,5,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",16.75,0.030771,0.009185,"nucleon_resonance:(n=0,ℓ=3,-):d13_1675",1,0.000000,0.495981,0.000000,earth_surface,1,1675.342126,-0.342126,-0.342126
N(1680),N1680,N(1680)5/2,baryon_resonance,1679.679756,1680.000000,-0.320244,0.019062,5,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",16.8,0.0640489,0.019062,"nucleon_resonance:(n=0,ℓ=3,-):d13_1680",1,0.000000,0.497412,0.000000,earth_surface,1,1680.177168,-0.177168,-0.177168
N(1710),N1710,N(1710)1/2,baryon_resonance,1710.496491,1710.000000,0.496491,0.029035,30,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",30,0.0165497,0.016550,"nucleon_resonance:(n=0,ℓ=3,+):d13_1710",1,0.000000,0.506538,0.000000,earth_surface,1,1711.003030,-1.003030,-1.003030
N(1720),N1720,N(1720)3/2,baryon_resonance,1717.933432,1720.000000,-2.066568,0.120149,20,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",20,0.103328,0.103328,"nucleon_resonance:(n=0,ℓ=3,+):d13_1720",1,0.000000,0.508741,0.000000,earth_surface,1,1718.442173,1.557827,1.557827
Λ(1405),Lambda1405,Λ(1405),baryon_resonance,1406.549868,1405.100000,1.449868,0.103186,0.3,"PDG 2024 RPP (Workman et al., Phys. Rev. D 110, 030001, 2024)",14.051,4.83289,0.103186,"strange_orbital:lambda:(0,2,-)",1,0.000000,0.416529,0.000000,earth_surface,1,1406.966397,-1.866397,-1.866397
